flight_number,departure_airport,arrival_airport,airline_code,departure_time,departure_timestamp,arrival_time,arrival_timestamp
6928,LAX,DEN,WS,2017-11-10 20:28:00,1510345680,2017-11-10 23:53:00,1510357980
425,LAX,DEN,NK,2017-11-10 09:39:00,1510306740,2017-11-10 12:58:00,1510318680
4773,LAX,DEN,QF,2017-11-10 10:05:00,1510308300,2017-11-10 13:35:00,1510320900
1264,LAX,DEN,TN,2017-11-10 10:05:00,1510308300,2017-11-10 13:35:00,1510320900
6400,LAX,DEN,VA,2017-11-10 15:55:00,1510329300,2017-11-10 19:23:00,1510341780
8060,LAX,DEN,KL,2017-11-10 15:55:00,1510329300,2017-11-10 19:23:00,1510341780
6922,LAX,DEN,WS,2017-11-10 15:55:00,1510329300,2017-11-10 19:23:00,1510341780
5260,LAX,DEN,AC,2017-11-10 05:45:00,1510292700,2017-11-10 09:08:00,1510304880
2004,LAX,DEN,AV,2017-11-10 05:45:00,1510292700,2017-11-10 09:08:00,1510304880
9470,LAX,DEN,NZ,2017-11-10 05:45:00,1510292700,2017-11-10 09:08:00,1510304880
495,LAX,DEN,UA,2017-11-10 05:45:00,1510292700,2017-11-10 09:08:00,1510304880
544,LAX,DEN,UA,2017-11-10 10:47:00,1510310820,2017-11-10 14:09:00,1510322940
5712,LAX,DEN,AC,2017-11-10 10:47:00,1510310820,2017-11-10 14:09:00,1510322940
7256,LAX,DEN,CA,2017-11-10 10:47:00,1510310820,2017-11-10 14:09:00,1510322940
9471,LAX,DEN,NZ,2017-11-10 10:47:00,1510310820,2017-11-10 14:09:00,1510322940
6250,LAX,DEN,OZ,2017-11-10 10:47:00,1510310820,2017-11-10 14:09:00,1510322940
314,LAX,DEN,UA,2017-11-10 13:30:00,1510320600,2017-11-10 16:48:00,1510332480
7257,LAX,DEN,CA,2017-11-10 13:30:00,1510320600,2017-11-10 16:48:00,1510332480
9476,LAX,DEN,NZ,2017-11-10 13:30:00,1510320600,2017-11-10 16:48:00,1510332480
5236,LAX,DEN,AC,2017-11-10 13:30:00,1510320600,2017-11-10 16:48:00,1510332480
