flight_number,departure_airport,arrival_airport,airline_code,departure_time,departure_timestamp,arrival_time,arrival_timestamp
3672,CDG,BCN,VN,2017-11-09 09:40:00,1510220400,2017-11-09 11:20:00,1510226400
6399,BRU,LHR,AA,2017-11-06 11:40:00,1509968400,2017-11-06 12:00:00,1509969600
6894,ORD,DFW,AS,2017-11-06 10:25:00,1509963900,2017-11-06 12:59:00,1509973140
6617,CTU,PEK,AC,2017-11-10 12:00:00,1510315200,2017-11-10 14:40:00,1510324800
8633,ORD,DFW,TK,2017-11-09 19:28:00,1510255680,2017-11-09 22:05:00,1510265100
6375,BKK,SIN,AY,2017-11-06 09:15:00,1509959700,2017-11-06 12:50:00,1509972600
9358,MAD,AMS,MF,2017-11-10 10:55:00,1510311300,2017-11-10 13:35:00,1510320900
6889,MIA,ATL,KL,2017-11-07 17:03:00,1510074180,2017-11-07 19:06:00,1510081560
384,BKK,HKG,EK,2017-11-07 13:45:00,1510062300,2017-11-07 17:30:00,1510075800
1444,FRA,DME,LH,2017-11-10 10:10:00,1510308600,2017-11-10 15:25:00,1510327500
284,ATL,LHR,DL,2017-11-09 19:20:00,1510255200,2017-11-10 08:25:00,1510302300
6502,MAN,LHR,JL,2017-11-06 06:40:00,1509950400,2017-11-06 07:50:00,1509954600
9343,LAX,LHR,LH,2017-11-10 17:35:00,1510335300,2017-11-11 12:00:00,1510401600
8148,CDG,BCN,UU,2017-11-09 07:10:00,1510211400,2017-11-09 08:50:00,1510217400
5167,YYZ,LAX,VA,2017-11-10 20:05:00,1510344300,2017-11-10 22:32:00,1510353120
49,AMS,JFK,DL,2017-11-07 10:30:00,1510050600,2017-11-07 13:17:00,1510060620
762,BKK,HKG,HX,2017-11-07 03:20:00,1510024800,2017-11-07 06:55:00,1510037700
1951,IST,AMS,TK,2017-11-08 08:45:00,1510130700,2017-11-08 10:40:00,1510137600
1073,FRA,YYZ,SQ,2017-11-08 10:00:00,1510135200,2017-11-08 12:30:00,1510144200
9473,LAX,DEN,NZ,2017-11-08 08:00:00,1510128000,2017-11-08 11:28:00,1510140480
8186,BCN,DXB,QF,2017-11-08 14:50:00,1510152600,2017-11-09 00:35:00,1510187700
7165,LHR,MUC,CX,2017-11-08 19:50:00,1510170600,2017-11-08 22:45:00,1510181100
6378,BRU,MAN,AC,2017-11-10 09:55:00,1510307700,2017-11-10 10:20:00,1510309200
8204,YYZ,FRA,OS,2017-11-10 21:40:00,1510350000,2017-11-11 11:10:00,1510398600
4663,BKK,ICN,9W,2017-11-09 09:50:00,1510221000,2017-11-09 17:10:00,1510247400
4333,JFK,LAX,GF,2017-11-10 14:30:00,1510324200,2017-11-10 18:10:00,1510337400
8592,MAD,LHR,JJ,2017-11-08 16:40:00,1510159200,2017-11-08 18:05:00,1510164300
5034,ICN,PVG,FM,2017-11-07 16:20:00,1510071600,2017-11-07 17:30:00,1510075800
8330,MAN,AMS,VS,2017-11-09 17:50:00,1510249800,2017-11-09 20:15:00,1510258500
7016,FRA,BRU,SN,2017-11-10 07:25:00,1510298700,2017-11-10 08:25:00,1510302300
93,MUC,FRA,LH,2017-11-07 07:00:00,1510038000,2017-11-07 08:10:00,1510042200
5824,HKG,CTU,CX,2017-11-06 19:15:00,1509995700,2017-11-06 22:10:00,1510006200
7649,AMS,MAN,CZ,2017-11-08 12:40:00,1510144800,2017-11-08 12:55:00,1510145700
2999,ATL,ORD,AA,2017-11-10 19:03:00,1510340580,2017-11-10 20:19:00,1510345140
49,DXB,MUC,EK,2017-11-09 08:40:00,1510216800,2017-11-09 12:30:00,1510230600
6341,JFK,YYZ,WS,2017-11-09 11:55:00,1510228500,2017-11-09 13:37:00,1510234620
7861,ICN,JFK,AR,2017-11-06 10:00:00,1509962400,2017-11-06 10:00:00,1509962400
5865,FRA,MAN,NH,2017-11-07 16:40:00,1510072800,2017-11-07 17:20:00,1510075200
8633,CDG,MAD,MU,2017-11-10 12:15:00,1510316100,2017-11-10 14:25:00,1510323900
9952,FCO,AMS,MF,2017-11-07 17:15:00,1510074900,2017-11-07 19:50:00,1510084200
3214,MAN,AMS,SU,2017-11-06 13:40:00,1509975600,2017-11-06 16:00:00,1509984000
87,LHR,ORD,AA,2017-11-10 08:40:00,1510303200,2017-11-10 11:30:00,1510313400
9457,FRA,ORD,AC,2017-11-09 10:40:00,1510224000,2017-11-09 13:05:00,1510232700
5805,PVG,HKG,CX,2017-11-08 14:45:00,1510152300,2017-11-08 17:45:00,1510163100
5540,SIN,AMS,VA,2017-11-08 23:55:00,1510185300,2017-11-09 06:45:00,1510209900
4347,DFW,ORD,QF,2017-11-10 14:56:00,1510325760,2017-11-10 17:24:00,1510334640
7384,PEK,FCO,CZ,2017-11-07 09:25:00,1510046700,2017-11-07 14:00:00,1510063200
2588,YYZ,DFW,AA,2017-11-10 17:59:00,1510336740,2017-11-10 20:49:00,1510346940
952,DXB,ICN,KE,2017-11-07 21:20:00,1510089600,2017-11-08 10:50:00,1510138200
3113,ATL,LAX,AZ,2017-11-06 19:10:00,1509995400,2017-11-06 21:00:00,1510002000
8918,DEN,LHR,EI,2017-11-08 17:30:00,1510162200,2017-11-09 09:30:00,1510219800
6523,MIA,ATL,VA,2017-11-07 17:03:00,1510074180,2017-11-07 19:06:00,1510081560
423,JFK,LAX,B6,2017-11-06 11:15:00,1509966900,2017-11-06 14:35:00,1509978900
2049,LAX,DEN,UA,2017-11-07 09:11:00,1510045860,2017-11-07 12:38:00,1510058280
7341,JFK,MIA,KE,2017-11-10 15:44:00,1510328640,2017-11-10 19:05:00,1510340700
2305,JFK,LAX,HA,2017-11-09 09:40:00,1510220400,2017-11-09 13:04:00,1510232640
8686,MAD,AMS,9W,2017-11-07 13:00:00,1510059600,2017-11-07 15:35:00,1510068900
8811,FRA,MUC,AI,2017-11-06 19:15:00,1509995700,2017-11-06 20:10:00,1509999000
1516,LHR,JFK,BA,2017-11-10 10:15:00,1510308900,2017-11-10 13:20:00,1510320000
7291,ORD,LAX,CA,2017-11-10 07:37:00,1510299420,2017-11-10 10:25:00,1510309500
8876,JFK,LHR,EI,2017-11-07 19:20:00,1510082400,2017-11-08 07:15:00,1510125300
8926,JFK,HKG,AA,2017-11-08 09:00:00,1510131600,2017-11-09 14:10:00,1510236600
6796,LAX,ATL,VA,2017-11-07 12:15:00,1510056900,2017-11-07 19:37:00,1510083420
4003,DME,LHR,S7,2017-11-07 16:50:00,1510073400,2017-11-07 17:55:00,1510077300
1185,DFW,LAX,TN,2017-11-10 13:10:00,1510319400,2017-11-10 14:37:00,1510324620
3349,PVG,CTU,CZ,2017-11-08 08:10:00,1510128600,2017-11-08 11:45:00,1510141500
8322,BCN,AMS,VY,2017-11-09 15:30:00,1510241400,2017-11-09 18:00:00,1510250400
9900,LHR,BRU,UA,2017-11-10 06:50:00,1510296600,2017-11-10 08:55:00,1510304100
892,CTU,AMS,KL,2017-11-06 15:30:00,1509982200,2017-11-06 19:15:00,1509995700
854,PEK,ICN,KE,2017-11-10 21:25:00,1510349100,2017-11-11 00:25:00,1510359900
5079,LAX,LHR,FJ,2017-11-06 19:00:00,1509994800,2017-11-07 13:30:00,1510061400
3024,LAX,JFK,EY,2017-11-09 07:00:00,1510210800,2017-11-09 15:19:00,1510240740
9564,AMS,MUC,DL,2017-11-07 09:30:00,1510047000,2017-11-07 10:55:00,1510052100
232,FRA,FCO,LH,2017-11-09 10:30:00,1510223400,2017-11-09 12:15:00,1510229700
4502,DXB,BKK,TG,2017-11-07 03:05:00,1510023900,2017-11-07 12:05:00,1510056300
4364,LHR,ATL,DL,2017-11-09 11:00:00,1510225200,2017-11-09 15:55:00,1510242900
5706,ATL,MIA,AF,2017-11-09 21:08:00,1510261680,2017-11-09 22:59:00,1510268340
6084,BRU,MUC,NH,2017-11-07 17:45:00,1510076700,2017-11-07 19:00:00,1510081200
4333,JFK,LAX,GF,2017-11-08 14:30:00,1510151400,2017-11-08 18:10:00,1510164600
3345,MAD,MUC,SK,2017-11-08 18:25:00,1510165500,2017-11-08 21:00:00,1510174800
6013,AMS,MAN,BT,2017-11-08 12:40:00,1510144800,2017-11-08 12:55:00,1510145700
5956,ORD,JFK,AZ,2017-11-09 15:17:00,1510240620,2017-11-09 18:45:00,1510253100
97,JFK,DEN,B6,2017-11-09 20:03:00,1510257780,2017-11-09 22:49:00,1510267740
1001,JFK,ICN,DL,2017-11-06 00:50:00,1509929400,2017-11-07 05:15:00,1510031700
6301,ATL,JFK,KL,2017-11-08 17:28:00,1510162080,2017-11-08 19:56:00,1510170960
5819,LAX,LHR,9W,2017-11-06 17:15:00,1509988500,2017-11-07 11:30:00,1510054200
5575,SIN,BKK,VA,2017-11-09 16:00:00,1510243200,2017-11-09 17:25:00,1510248300
8916,AMS,LHR,9W,2017-11-09 14:05:00,1510236300,2017-11-09 14:25:00,1510237500
8890,HKG,SIN,AA,2017-11-09 08:10:00,1510215000,2017-11-09 11:55:00,1510228500
1865,IST,FCO,TK,2017-11-07 12:55:00,1510059300,2017-11-07 13:35:00,1510061700
5150,BCN,FCO,IB,2017-11-09 09:40:00,1510220400,2017-11-09 11:25:00,1510226700
363,CAN,DXB,EK,2017-11-08 00:15:00,1510100100,2017-11-08 05:15:00,1510118100
65,JFK,MIA,AA,2017-11-07 15:30:00,1510068600,2017-11-07 18:57:00,1510081020
431,JFK,LAX,DL,2017-11-10 15:30:00,1510327800,2017-11-10 18:55:00,1510340100
304,LHR,CDG,BA,2017-11-06 07:20:00,1509952800,2017-11-06 09:35:00,1509960900
4386,LAX,DFW,QF,2017-11-09 10:50:00,1510224600,2017-11-09 15:55:00,1510242900
1153,LAX,ATL,WN,2017-11-10 14:20:00,1510323600,2017-11-10 21:30:00,1510349400
9801,PEK,AMS,MF,2017-11-07 11:55:00,1510055700,2017-11-07 15:30:00,1510068600
4902,JFK,CDG,9W,2017-11-08 22:55:00,1510181700,2017-11-09 12:00:00,1510228800
723,PVG,HKG,FM,2017-11-06 18:30:00,1509993000,2017-11-06 21:30:00,1510003800
7933,MIA,JFK,AF,2017-11-06 15:30:00,1509982200,2017-11-06 18:37:00,1509993420
43,DXB,FRA,EK,2017-11-07 03:20:00,1510024800,2017-11-07 07:35:00,1510040100
2017,DFW,LAX,AV,2017-11-07 17:48:00,1510076880,2017-11-07 19:39:00,1510083540
3308,SIN,LHR,NZ,2017-11-07 09:10:00,1510045800,2017-11-07 15:20:00,1510068000
8984,MUC,LGW,U2,2017-11-09 17:00:00,1510246800,2017-11-09 18:00:00,1510250400
7555,PEK,CTU,UA,2017-11-10 18:00:00,1510336800,2017-11-10 21:10:00,1510348200
4049,JFK,DFW,DL,2017-11-10 08:09:00,1510301340,2017-11-10 11:22:00,1510312920
6961,ATL,MIA,KE,2017-11-07 13:10:00,1510060200,2017-11-07 15:00:00,1510066800
6284,BKK,HKG,EY,2017-11-08 03:20:00,1510111200,2017-11-08 06:55:00,1510124100
653,ICN,BKK,KE,2017-11-08 18:55:00,1510167300,2017-11-08 22:55:00,1510181700
1833,MAN,AMS,U2,2017-11-06 14:25:00,1509978300,2017-11-06 16:45:00,1509986700
8030,LHR,DXB,QF,2017-11-09 16:15:00,1510244100,2017-11-10 03:00:00,1510282800
4090,DFW,ATL,AM,2017-11-09 05:45:00,1510206300,2017-11-09 08:53:00,1510217580
8060,LHR,MIA,LY,2017-11-07 11:05:00,1510052700,2017-11-07 16:05:00,1510070700
52,MUC,DXB,EK,2017-11-10 21:30:00,1510349400,2017-11-11 06:40:00,1510382400
7453,PEK,YYZ,CA,2017-11-08 18:45:00,1510166700,2017-11-08 18:40:00,1510166400
9393,LHR,JFK,MH,2017-11-10 10:15:00,1510308900,2017-11-10 13:20:00,1510320000
941,PEK,DXB,CA,2017-11-08 17:40:00,1510162800,2017-11-08 23:15:00,1510182900
510,HKG,PVG,FM,2017-11-07 17:20:00,1510075200,2017-11-07 20:10:00,1510085400
6222,MUC,PEK,CA,2017-11-10 19:20:00,1510341600,2017-11-11 12:10:00,1510402200
1316,CAN,PEK,CA,2017-11-08 15:30:00,1510155000,2017-11-08 18:35:00,1510166100
5397,JFK,BCN,QR,2017-11-06 17:45:00,1509990300,2017-11-07 07:10:00,1510038600
7097,CDG,LAX,DY,2017-11-08 14:05:00,1510149900,2017-11-08 16:35:00,1510158900
3182,CDG,MUC,KQ,2017-11-08 15:45:00,1510155900,2017-11-08 17:15:00,1510161300
506,HKG,PVG,MU,2017-11-07 20:20:00,1510086000,2017-11-07 22:50:00,1510095000
3024,CDG,FRA,KQ,2017-11-10 07:25:00,1510298700,2017-11-10 08:55:00,1510304100
5028,LAX,ATL,FJ,2017-11-07 15:43:00,1510069380,2017-11-07 22:58:00,1510095480
2022,CDG,AMS,KL,2017-11-08 17:55:00,1510163700,2017-11-08 19:15:00,1510168500
6996,MIA,LAX,LA,2017-11-08 15:30:00,1510155000,2017-11-08 18:25:00,1510165500
8766,LAX,ORD,SK,2017-11-07 12:28:00,1510057680,2017-11-07 18:35:00,1510079700
3344,LAX,JFK,UX,2017-11-06 06:15:00,1509948900,2017-11-06 14:51:00,1509979860
113,ICN,HKG,LJ,2017-11-09 09:25:00,1510219500,2017-11-09 12:20:00,1510230000
5209,JFK,YYZ,BA,2017-11-06 15:30:00,1509982200,2017-11-06 17:25:00,1509989100
3040,SIN,CAN,CZ,2017-11-07 17:50:00,1510077000,2017-11-07 21:35:00,1510090500
8664,CDG,PVG,MU,2017-11-09 23:25:00,1510269900,2017-11-10 17:45:00,1510335900
1441,CDG,FRA,A3,2017-11-09 14:20:00,1510237200,2017-11-09 15:35:00,1510241700
2807,MAN,LHR,JJ,2017-11-06 14:00:00,1509976800,2017-11-06 15:05:00,1509980700
2480,DFW,LAX,AA,2017-11-07 13:10:00,1510060200,2017-11-07 14:37:00,1510065420
7507,ATL,MIA,9W,2017-11-07 19:53:00,1510084380,2017-11-07 21:45:00,1510091100
1513,ATL,DFW,DL,2017-11-07 13:49:00,1510062540,2017-11-07 15:24:00,1510068240
1424,MUC,BRU,A3,2017-11-10 21:55:00,1510350900,2017-11-10 23:20:00,1510356000
73,AMS,ATL,DL,2017-11-09 10:35:00,1510223700,2017-11-09 14:32:00,1510237920
6698,AMS,JFK,AF,2017-11-07 13:30:00,1510061400,2017-11-07 15:50:00,1510069800
6102,HKG,PEK,CX,2017-11-09 12:30:00,1510230600,2017-11-09 15:40:00,1510242000
7518,LAX,MIA,JL,2017-11-08 12:35:00,1510144500,2017-11-08 20:33:00,1510173180
3336,SIN,FRA,NZ,2017-11-08 23:55:00,1510185300,2017-11-09 06:20:00,1510208400
4788,LAX,JFK,VS,2017-11-08 11:25:00,1510140300,2017-11-08 20:03:00,1510171380
6253,MAD,JFK,IB,2017-11-09 16:10:00,1510243800,2017-11-09 18:45:00,1510253100
5791,BCN,MAD,IB,2017-11-06 19:00:00,1509994800,2017-11-06 20:20:00,1509999600
1400,LAX,ORD,UA,2017-11-07 15:45:00,1510069500,2017-11-07 21:39:00,1510090740
8426,SIN,FCO,TP,2017-11-07 01:55:00,1510019700,2017-11-07 08:10:00,1510042200
7588,LAX,PEK,UA,2017-11-07 10:30:00,1510050600,2017-11-08 15:20:00,1510154400
433,ICN,HKG,CX,2017-11-06 13:55:00,1509976500,2017-11-06 17:00:00,1509987600
1666,BCN,AMS,KL,2017-11-08 11:10:00,1510139400,2017-11-08 13:30:00,1510147800
8195,FCO,BCN,MU,2017-11-06 21:25:00,1510003500,2017-11-06 23:15:00,1510010100
9540,AMS,CDG,DL,2017-11-08 06:50:00,1510123800,2017-11-08 08:10:00,1510128600
1931,BCN,MAD,IB,2017-11-07 19:30:00,1510083000,2017-11-07 20:50:00,1510087800
4864,LAX,JFK,VS,2017-11-07 14:10:00,1510063800,2017-11-07 22:41:00,1510094460
7921,PEK,PVG,VS,2017-11-08 07:15:00,1510125300,2017-11-08 09:30:00,1510133400
2164,DFW,ATL,AF,2017-11-10 18:30:00,1510338600,2017-11-10 21:42:00,1510350120
1954,DFW,ATL,DL,2017-11-10 08:15:00,1510301700,2017-11-10 11:18:00,1510312680
7471,MIA,JFK,JL,2017-11-07 07:00:00,1510038000,2017-11-07 09:53:00,1510048380
1255,ATL,LAX,DL,2017-11-08 08:30:00,1510129800,2017-11-08 10:16:00,1510136160
5065,DFW,YYZ,WS,2017-11-10 18:25:00,1510338300,2017-11-10 22:27:00,1510352820
7349,CAN,CTU,HU,2017-11-07 14:00:00,1510063200,2017-11-07 16:35:00,1510072500
6251,MAD,JFK,IB,2017-11-08 12:50:00,1510145400,2017-11-08 15:10:00,1510153800
1635,IST,MUC,TK,2017-11-06 16:55:00,1509987300,2017-11-06 17:45:00,1509990300
4215,LAX,MUC,NZ,2017-11-07 17:15:00,1510074900,2017-11-08 13:40:00,1510148400
5869,MIA,ATL,AZ,2017-11-06 18:20:00,1509992400,2017-11-06 20:27:00,1510000020
2063,MAD,FRA,SQ,2017-11-06 06:00:00,1509948000,2017-11-06 08:40:00,1509957600
5788,ORD,LHR,AY,2017-11-06 22:00:00,1510005600,2017-11-07 11:35:00,1510054500
986,FRA,AMS,LH,2017-11-10 07:05:00,1510297500,2017-11-10 08:15:00,1510301700
1703,AMS,MAD,KL,2017-11-08 13:30:00,1510147800,2017-11-08 16:05:00,1510157100
1134,JFK,LAX,CZ,2017-11-10 16:50:00,1510332600,2017-11-10 20:15:00,1510344900
3321,LHR,SIN,NZ,2017-11-06 22:05:00,1510005900,2017-11-07 19:00:00,1510081200
429,ATL,DEN,F9,2017-11-06 08:20:00,1509956400,2017-11-06 09:52:00,1509961920
1814,MUC,BCN,LH,2017-11-07 15:45:00,1510069500,2017-11-07 17:50:00,1510077000
5669,FRA,SIN,VA,2017-11-08 11:40:00,1510141200,2017-11-09 06:50:00,1510210200
5501,DFW,YYZ,WS,2017-11-10 07:01:00,1510297260,2017-11-10 11:01:00,1510311660
2918,BCN,BRU,FR,2017-11-07 06:20:00,1510035600,2017-11-07 08:30:00,1510043400
8029,LAX,ATL,G3,2017-11-08 10:40:00,1510137600,2017-11-08 18:03:00,1510164180
7640,MAD,AMS,CZ,2017-11-08 13:00:00,1510146000,2017-11-08 15:35:00,1510155300
1627,MIA,LAX,AA,2017-11-10 12:15:00,1510316100,2017-11-10 15:11:00,1510326660
2270,JFK,ORD,AA,2017-11-08 17:05:00,1510160700,2017-11-08 19:09:00,1510168140
8148,CDG,BCN,UU,2017-11-08 07:10:00,1510125000,2017-11-08 08:50:00,1510131000
5460,BCN,DME,IB,2017-11-07 18:10:00,1510078200,2017-11-08 00:40:00,1510101600
5925,ICN,AMS,KE,2017-11-09 00:55:00,1510188900,2017-11-09 04:30:00,1510201800
1301,BCN,MAD,IB,2017-11-07 13:00:00,1510059600,2017-11-07 14:20:00,1510064400
1227,AMS,CDG,KL,2017-11-10 07:25:00,1510298700,2017-11-10 08:50:00,1510303800
8876,AMS,LGW,U2,2017-11-07 14:20:00,1510064400,2017-11-07 14:35:00,1510065300
7068,PEK,CAN,LH,2017-11-09 12:00:00,1510228800,2017-11-09 15:15:00,1510240500
6389,LHR,MAN,AA,2017-11-07 07:10:00,1510038600,2017-11-07 08:15:00,1510042500
